Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Askeaton Clinic,Clinic,MoH,-31.6252,27.4606999999999,GPS
South Africa,Eastern Cape,Aspiranza Clinic,Clinic,MoH,-33.0191,27.8499,GPS
South Africa,Eastern Cape,Assina Mandla Clinic,Clinic,MoH,-32.7503999999999,26.7941,GPS
South Africa,Eastern Cape,Bacclesfarm Clinic,Clinic,MoH,-32.0399,26.4564999999999,GPS
South Africa,Eastern Cape,Badi Clinic,Clinic,MoH,-32.2869999999999,28.6627,GPS
South Africa,Eastern Cape,Bala Clinic,Clinic,MoH,-30.9902,29.5368999999999,GPS
South Africa,Eastern Cape,Baleni Clinic,Clinic,MoH,-31.1590999999999,29.9714999999999,GPS
South Africa,Eastern Cape,Balfour Clinic,Clinic,MoH,-32.5456999999999,26.6820999999999,GPS
South Africa,Eastern Cape,Bambisana Gateway Clinic,Clinic,MoH,-31.4508,29.4545999999999,GPS
South Africa,Eastern Cape,Bambisana Hospital,District Hospital,MoH,-31.4500999999999,29.454,GPS
South Africa,Eastern Cape,Banzi Clinic,Clinic,MoH,-32.1263,27.5198,GPS
South Africa,Eastern Cape,Baroda Clinic,Clinic,MoH,-32.0020999999999,25.5103,GPS
South Africa,Eastern Cape,Bathurst Clinic,Clinic,MoH,-33.4936999999999,26.8311999999999,GPS
South Africa,Eastern Cape,Baviaans Clinic,Clinic,MoH,-33.3245999999999,24.3442,GPS
South Africa,Eastern Cape,Baziya CHC,Community Health Centre,MoH,-31.6151,28.3837,GPS
South Africa,Eastern Cape,Beacon Bay Clinic,Clinic,MoH,-32.9679,27.9384,GPS
South Africa,Eastern Cape,Beatrice Ngwentle Clinic,Clinic,MoH,-32.7175,25.5915,GPS
South Africa,Eastern Cape,Bedford Clinic,Clinic,MoH,-32.6792999999999,26.0887999999999,GPS
South Africa,Eastern Cape,Bedford Hospital,District Hospital,MoH,-32.6762,26.0831,GPS
South Africa,Eastern Cape,Beestekraal Clinic,Clinic,MoH,-31.5196,27.8096999999999,GPS
South Africa,Eastern Cape,Bengu Clinic Emalahleni,Clinic,MoH,-31.7927,27.3354,GPS
South Africa,Eastern Cape,Bensonvale Clinic,Clinic,MoH,-30.5822,27.3566,GPS
South Africa,Eastern Cape,Bergsig Clinic,Clinic,MoH,-33.3873,25.4497,GPS
South Africa,Eastern Cape,Berlin Clinic,Clinic,MoH,-32.8838999999999,27.5778,GPS
South Africa,Eastern Cape,Bethania Clinic,Clinic,MoH,-30.6228,28.3329999999999,GPS
South Africa,Eastern Cape,Bezuidenhoutville Clinic,Clinic,MoH,-32.688,26.2981,GPS
South Africa,Eastern Cape,Bhele Clinic,Clinic,MoH,-33.2025999999999,27.1827,GPS
South Africa,Eastern Cape,Bhisho Gateway Clinic,Clinic,MoH,-32.8277,27.4551,GPS
South Africa,Eastern Cape,Bhisho Hospital,District Hospital,MoH,-32.8277,27.4552,GPS
South Africa,Eastern Cape,Bhisho Parliament Clinic,Clinic,MoH,-32.8639,27.4289999999999,GPS
South Africa,Eastern Cape,Bhongweni Clinic,Clinic,MoH,-32.7449,25.7983,GPS
South Africa,Eastern Cape,Bilatye Clinic,Clinic,MoH,-31.9464,27.3651,GPS
South Africa,Eastern Cape,Bityi Clinic,Clinic,MoH,-31.7942,28.5233999999999,GPS
South Africa,Eastern Cape,BJ Vorster  Hospital Kareedouw,District Hospital,MoH,-33.9515,24.2978999999999,GPS
South Africa,Eastern Cape,Bluegums Clinic,Clinic,MoH,-30.5474999999999,27.2323999999999,GPS
South Africa,Eastern Cape,Bodweni Clinic,Clinic,MoH,-31.1849999999999,29.5516,GPS
South Africa,Eastern Cape,Bokleni Clinic,Clinic,MoH,-31.5946,28.1949,GPS
South Africa,Eastern Cape,Bolotwa Clinic Confimvaba,Clinic,MoH,-31.5918999999999,27.2009,GPS
South Africa,Eastern Cape,Bolotwa Clinic Idutywa,Clinic,MoH,-31.917,28.2921,GPS
South Africa,Eastern Cape,Bomvana Clinic,Clinic,MoH,-32.1131999999999,28.8016,GPS
South Africa,Eastern Cape,Bomvini Clinic,Clinic,MoH,-31.4018,29.4724,GPS
South Africa,Eastern Cape,Boomplaas Clinic,Clinic,MoH,-31.5128999999999,27.1707,GPS
South Africa,Eastern Cape,Booysens Park Clinic,Clinic,MoH,-33.862,25.4587,GPS
South Africa,Eastern Cape,Braelyn Clinic,Clinic,MoH,-32.9998999999999,27.8793,GPS
South Africa,Eastern Cape,Braelyn Extension Clinic,Clinic,MoH,-33.0039999999999,27.861,GPS
South Africa,Eastern Cape,Breidbach Clinic,Clinic,MoH,-32.8881,27.4436,GPS
South Africa,Eastern Cape,Brister House Clinic,Clinic,MoH,-33.9575,25.6187,GPS
South Africa,Eastern Cape,Brug Straat Clinic Jansenville,Clinic,MoH,-32.9480999999999,24.6656,GPS
South Africa,Eastern Cape,Buchele Clinic,Clinic,MoH,-31.4956,29.6217,GPS
South Africa,Eastern Cape,Bulembu Clinic,Clinic,MoH,-32.8733999999999,27.2677,GPS
