FacilityId,Ou3uid,FacilityName,Province,District,SubDistrict,Ou2Code,Ou3Code
812442,jV5WxrHYFzy,mp Mpakeni Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
250815,q7RiAE9fLwc,mp MS Msimanga Clinic,mp Mpumalanga Province,mp Gert Sibande District Municipality,mp Lekwa Local Municipality,827311,334903
211842,jV5WxrHYFzy,mp Msogwaba Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
244651,jV5WxrHYFzy,mp Mthimba Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
515733,jV5WxrHYFzy,mp Murhotso Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,827311,976421
412851,jV5WxrHYFzy,mp Mzinti Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
929815,iC4QrGjmJkg,lp Maake Clinic,lp Limpopo Province,lp Mopani District Municipality,lp Greater Tzaneen Local Municipality,325111,524721
620751,iC4QrGjmJkg,lp Mabins Clinic,lp Limpopo Province,lp Mopani District Municipality,lp Maruleng Local Municipality,325111,524721
759542,WnTlsaSVlEm,lp Mabuela Clinic,lp Limpopo Province,lp Waterberg District Municipality,lp Mogalakwena Local Municipality,325111,704412
331133,d8xaVWREBhh,lp Madala Clinic,lp Limpopo Province,lp Vhembe District Municipality,lp Thulamela Local Municipality,325111,487121
